ABCB1 +,ABL1 +,ACHE -,ACKR3 +,ADAMTS1 +,ADRB2 +,AHR +,AHRR +,AIP +,AKR1C2 +,AKT2 +,ALDH1A1 +,ALOX15 +,ALPI +,APC +,APEX1 +,AR +,AREG +,ARNTL2 -,ASF1B -,ASPM -,ATF4 +,ATF5 -,ATM -,AURKA -,AXL -,B4GALT1 -,BAMBI -,BAX +,BCL2 -,BCL2L1 +,BCL6 +,BIRC5 -,BLK -,BMI1 +,BMP2 +,BRCA1 -,BRCA2 -,BTG2 -,CA9 -,CALB1 -,CASP8 +,CCL17 +,CCL26 +,CCNA1 -,CCNA2 -,CCNB1 -,CCNB2 -,CCND1 -,CCND2 -,CCND3 -,CCNE1 -,CCNG2 +,CCR4 -,CCR7 -,CD14 -,CD19 +,CD4 +,CD40 +,CD44 +,CD46 +,CD79A +,CDC20 -,CDC25B -,CDC42 -,CDCA7 -,CDH1 -,CDH3 +,CDK1 -,CDKN1A +,CDKN1B -,CDKN2B +,CDKN3 +,CDO1 -,CDT1 -,CDX1 -,CEBPB +,CHEK1 -,CIITA +,CLEC4G -,CNR1 +,COL10A1 -,COL1A1 -,COL1A2 -,CREB1 +,CREM +,CRH -,CRX +,CSF3R +,CST5 -,CTBP1 +,CTPS1 +,CTSD +,CXCL1 +,CXCL8 -,CXCR4 +,CYP11B2 -,CYP19A1 -,CYP1B1 +,CYP2E1 +,CYP3A4 -,CYP7A1 +,DACT3 +,DDB2 -,DDIT3 -,DHFR -,DKK4 +,DLX4 +,DNM3 +,DNMT1 -,DNMT3B -,DOCK1 -,E2F1 -,E2F2 -,E2F3 -,E2F4 -,E2F6 +,E2F7 -,E2F8 +,E4F1 +,EFNA1 +,EGFR +,EGR1 +,ELK1 -,ENO1 +,EP300 -,EPAS1 -,EPHA2 +,ERBB3 -,ERCC1 -,ERG +,ESR1 -,ESR2 +,ETS1 -,ETV6 +,EZH2 -,F2R -,FABP4 +,FASLG +,FBXO32 +,FCER2 +,FGB +,FGF2 +,FHL2 +,FLI1 -,FLT1 -,FLT4 -,FN1 +,FOS +,FOSL2 -,FOXC1 +,FOXC2 +,FOXF2 -,FOXM1 -,FOXO1 +,FOXO3 +,FOXP3 -,FST -,GAD1 +,GALT +,GDF15 +,GFER -,GSTM1 -,GYPA -,HCN2 -,HDAC1 +,HDAC2 -,HDAC5 +,HDAC9 -,HECA +,HIC1 -,HIF1A +,HLA-DOB +,HMGA1 +,HNF4A +,HNRNPA2B1 +,HOXA10 -,HOXB13 +,HR +,HSD3B2 +,HSF1 -,HSPA5 +,ICAM1 +,ICAM3 -,ID3 -,ID4 +,IFNA1 -,IGF1 +,IGFBP5 +,IL10 +,IL12B +,IL15 -,IL1R1 +,IL2 +,IL2RA -,IL3 +,IL32 +,IL4 +,IL6 +,IL7 -,ILF3 -,ILK -,INSR -,IRF1 +,IRF7 -,IRF9 -,ITGB1 +,JUN -,KAT5 -,KDR -,KHSRP +,KIF2C -,KLF10 +,KLF15 +,KLF2 +,KLF4 +,KLF5 -,KLF6 +,L3MBTL1 -,LCK -,LEF1 +,LGALS1 -,LMO2 +,MACROD1 -,MAD2L1 -,MAFA +,MAPK1 +,MAPK3 +,MAT2A -,MBD2 +,MCM10 +,MCM2 +,MCM3 +,MCM4 +,MCM5 +,MCM6 +,MCM7 +,MED1 -,MICB -,MKI67 +,MMP1 -,MMP14 -,MSC -,MSH2 -,MSL1 -,MYB -,MYBL2 -,MYC -,MYCN +,MYOCD -,NCOA3 +,NCOA4 -,NDC80 +,NF1 -,NFATC1 +,NFE2L2 -,NFKB1 -,NPM1 +,NR2E3 +,NR2F1 +,NR3C1 -,NR4A1 +,NR5A1 +,NRL +,NUPR1 +,OTX2 -,PAX5 +,PC +,PCNA -,PEBP1 +,PEG10 +,PER2 -,PFDN4 -,PGR +,PIP5K1C +,PLK1 +,POLA1 -,POU1F1 -,POU2AF1 -,POU2F1 -,POU2F2 -,PPARG +,PRDM1 -,PRKCA +,PROX1 -,PTGS2 +,PTH +,PTHLH -,PTPN6 +,PTTG1 -,PTTG1IP -,PURA +,RAC1 -,RAD51 +,RAP1A -,RARA +,RB1 +,RBBP8 -,RBL1 +,RBL2 -,RBP3 -,REEP5 -,RELA -,RELB -,RELN +,REST -,RFC3 +,RHO +,RNASEL -,RPLP0 -,RRM2 -,RUNX1 +,RUNX2 -,RUNX3 +,S100A10 -,S100A4 -,SATB1 +,SDC1 -,SELE -,SELP +,SERPINB1 -,SERPINE1 -,SFPQ -,SFTPB -,SIRT1 -,SIRT6 +,SKP2 +,SLC2A1 +,SMAD3 -,SMAD4 -,SNAI1 +,SNAI2 +,SOX2 -,SOX6 +,SP1 -,SP2 -,SPI1 +,SRPX -,SSTR1 +,STAT1 -,STAT2 -,STAT3 +,STAT5A -,STAT6 +,STMN1 -,TAF1A +,TAL1 -,TCF19 +,TCF7L2 -,TERT -,TF -,TFAP2A +,TFCP2 -,TFDP1 -,TFF1 +,TGFA +,THBD +,TIMP2 +,TIMP3 +,TK1 -,TNFRSF10B +,TNFRSF13C -,TNFRSF21 -,TNFSF10 +,TOP2A -,TOPBP1 +,TP53 +,TP53BP1 -,TP63 -,TPT1 -,TTK +,TUBB3 +,TWIST1 +,TWIST2 +,TXNIP +,TYMS -,UBE2C -,UGT1A1 +,UHRF1 -,VDR -,VEGFA -,WEE1 -,WT1 -,WWP1 +,XBP1 -,YBX1 +,ZBTB16 +,ZEB1 -,ZFHX3 +,ZHX2 +,ZNF224 -,ZNF239 +,ZNRD1 -
ACLY +,SREBF1 +
ATP6V0E1 +,CREB5 +
BUB1B +,ZNF143 +
C4BPB +,NFIC +
CAT +,EGR3 +,NAB2 +
CCL11 +
CD3G +
CDKN2A +,EAPP -,HDAC3 -,HDAC4 -,MTA1 +,SMARCA1 +,SMARCA4 +,SMARCB1 +,TBX2 -,TBX3 -,TBX5 +,ZBTB7A -
CYP1A1 +
CYP24A1 +
DLG4 +,LMO4 -
DNTT +,ELF1 +
EXO1 +,TCF3 -
GADD45A +
HIPK2 +,ZBTB4 -
IGFBP3 +
JUND +
KIAA0101 +
MIA +,SOX10 +,SOX9 +
MMP2 +
NFATC2 +
NFE2L1 +,NQO1 +
ONECUT1 +,PROC +
PARP1 +
RHOA +
SLC29A1 +
SP3 +
TIMP1 +
YY1 +
