Gene symbol	Entrez ID	Aliases	Full name
A2M	2	A2MD, CPAMD5, FWP007, S863-7	alpha-2-macroglobulin
AATF	26574	CHE-1, CHE1, DED	apoptosis antagonizing transcription factor
ABCA1	19	ABC-1, ABC1, CERP, HDLDT1, TGD	ATP-binding cassette, sub-family A (ABC1), member 1
ABCA3	21	ABC-C, ABC3, EST111653, LBM180, SMDP3	ATP-binding cassette, sub-family A (ABC1), member 3
ABCB1	5243	ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
ABCB11	8647	ABC16, BRIC2, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ATP-binding cassette, sub-family B (MDR/TAP), member 11
ABCB4	5244	ABC21, GBD1, ICP3, MDR2, MDR2/3, MDR3, PFIC-3, PGY3	ATP-binding cassette, sub-family B (MDR/TAP), member 4
ABCB8	11194	EST328128, M-ABC1, MABC1	ATP-binding cassette, sub-family B (MDR/TAP), member 8
ABCC1	4363	ABC29, ABCC, GS-X, MRP, MRP1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
ABCC2	1244	ABC30, CMOAT, DJS, MRP2, cMRP	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
ABCC3	8714	ABC31, EST90757, MLP2, MOAT-D, MRP3, cMOAT2	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
ABCC4	10257	EST170205, MOAT-B, MOATB, MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
ABCC6	368	ABC34, ARA, EST349056, GACI2, MLP1, MOAT-E, MOATE, MRP6, PXE, PXE1, URG7	ATP-binding cassette, sub-family C (CFTR/MRP), member 6
ABCG1	9619	ABC8, WHITE1	ATP-binding cassette, sub-family G (WHITE), member 1
ABCG2	9429	ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, EST157481, GOUT1, MRX, MXR, MXR1, UAQTL1	ATP-binding cassette, sub-family G (WHITE), member 2
ABCG4	64137	WHITE2	ATP-binding cassette, sub-family G (WHITE), member 4
ABCG5	64240	STSL	ATP-binding cassette, sub-family G (WHITE), member 5
ABCG8	64241	GBD4, STSL	ATP-binding cassette, sub-family G (WHITE), member 8
ABL1	25	ABL, JTK7, bcr/abl, c-ABL, p150, v-abl	c-abl oncogene 1, non-receptor tyrosine kinase
ABL2	27	ABLL, ARG	v-abl Abelson murine leukemia viral oncogene homolog 2
ACACA	31	ACAC, ACACAD, ACC, ACC1, ACCA	acetyl-CoA carboxylase alpha
ACACB	32	ACC2, ACCB, HACC275	acetyl-CoA carboxylase beta
ACADL	33	ACAD4, LCAD	acyl-CoA dehydrogenase, long chain
ACAN	176	AGC1, AGCAN, CSPG1, CSPGCP, MSK16, SEDK	aggrecan
ACAT1	38	ACAT, MAT, T2, THIL	acetyl-CoA acetyltransferase 1
ACBD3	64746	GCP60, GOCAP1, GOLPH1, PAP7	acyl-CoA binding domain containing 3
ACE	1636	ACE1, CD143, DCP, DCP1, ICH, MVCD3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ACE2	59272	ACEH	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
ACHE	43	ACEE, ARACHE, N-ACHE, YT	acetylcholinesterase
ACLY	47	ACL, ATPCL, CLATP	ATP citrate lyase
ACO1	48	ACONS, IREB1, IREBP, IREBP1, IRP1	aconitase 1, soluble
ACOT7	11332	ACH1, ACT, BACH, CTE-II, LACH, LACH1, RP1-120G22.10, hBACH	acyl-CoA thioesterase 7
ACOX1	51	ACOX, PALMCOX, SCOX	acyl-CoA oxidase 1, palmitoyl
ACP5	54	SPENCDI, TRAP	acid phosphatase 5, tartrate resistant
ACRV1	56	D11S4365, SP-10, SPACA2	acrosomal vesicle protein 1
ACSL1	2180	ACS1, FACL1, FACL2, LACS, LACS1, LACS2	acyl-CoA synthetase long-chain family member 1
ACTA1	58	ACTA, ASMA, CFTD, CFTD1, CFTDM, MPFD, NEM1, NEM2, NEM3	actin, alpha 1, skeletal muscle
ACTA2	59	AAT6, ACTSA, MYMY5	actin, alpha 2, smooth muscle, aorta
ACTC1	70	ACTC, ASD5, CMD1R, CMH11, LVNC4	actin, alpha, cardiac muscle 1
ACTG2	72	ACT, ACTA3, ACTE, ACTL3, ACTSG	actin, gamma 2, smooth muscle, enteric
ACTN4	81	ACTININ-4, FSGS, FSGS1	actinin, alpha 4
ACVRL1	94	ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I	activin A receptor type II-like 1
ADAM10	102	AD10, CD156c, HsT18717, MADM, kuz	ADAM metallopeptidase domain 10
ADAM12	8038	MCMP, MCMPMltna, MLTN, MLTNA	ADAM metallopeptidase domain 12
ADAM17	6868	ADAM18, CD156B, CSVP, NISBD, TACE	ADAM metallopeptidase domain 17
ADAM23	8745	MDC3	ADAM metallopeptidase domain 23
ADAMTS1	9510	C3-C5, METH1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
ADAMTS5	11096	ADAM-TS 11, ADAM-TS 5, ADAM-TS5, ADAMTS-11, ADAMTS-5, ADAMTS11, ADMP-2	ADAM metallopeptidase with thrombospondin type 1 motif, 5
ADARB2	105	ADAR3, RED2	adenosine deaminase, RNA-specific, B2
ADH1A	124	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH5	128	ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH6	130	ADH-5	alcohol dehydrogenase 6 (class V)
ADIPOQ	9370	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	adiponectin, C1Q and collagen domain containing
ADIPOR1	51094	ACDCR1, CGI45, PAQR1, TESBP1A	adiponectin receptor 1
ADIPOR2	79602	ACDCR2, PAQR2	adiponectin receptor 2
ADM	133	AM	adrenomedullin
ADORA1	134	RDC7	adenosine A1 receptor
ADORA2A	135	ADORA2, RDC8, hA2aR	adenosine A2a receptor
ADORA3	140	A3AR, AD026, bA552M11.5	adenosine A3 receptor
ADRA1A	148	ADRA1C, ADRA1L1, ALPHA1AAR	adrenoceptor alpha 1A
ADRA2B	151	ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, alpha-2BAR	adrenoceptor alpha 2B
ADRB2	154	ADRB2R, ADRBR, B2AR, BAR, BETA2AR	adrenoceptor beta 2, surface
ADRB3	155	BETA3AR	adrenoceptor beta 3
ADRBK1	156	BARK1, BETA-ARK1, GRK2	adrenergic, beta, receptor kinase 1
